PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-6,0-2,0-13,0-8,0-1,0-3,0-3,0-1
2,1-2,,7,3-4,14-16,9-10,2-3,4-5,4-5,2-3
3,3-5,1,8,5,17-19,11-13,4-5,6-7,6-7,4-5
4,6-8,2-3,,6-7,20-22,14-15,6-7,8,8-9,6-7
5,9-11,4-5,9,8,23-74,16-18,8,9-10,10-11,8-9
6,12-15,6-8,10,9-10,25-27,19-20,9-10,11,12,10-11
7,16-18,9-10,11,11,28-30,21-22,11-12,12-13,13-14,12-14
8,19-21,11-13,12,12-13,31-33,23-25,13,14-15,15-16,15-16
9,22-25,14-15,13,14,34-37,26-27,14-15,16,17-18,17-18
10,26-28,16-17,14,15-16,38-40,28-30,16,17-18,19,19-20
11,29-32,18-20,15-16,17,41-44,31-32,17,19-20,20-21,21-22
12,33-36,21-22,17,18,45-48,33-34,18-19,21,22-23,23-24
13,37-39,23-24,18,19-20,49-51,35-36,20,22-23,24-25,25-26
14,40-43,25-27,19-20,21,52-55,37-39,21,24-25,26,27-28
15,44-47,28-29,21,22,56-59,40-41,22,26,27-28,29-31
16,48-51,30-31,22,23-24,60-63,42-43,23,27-28,29-30,32-33
17,52-55,32-33,23-24,25,64-67,44-46,,29-30,31-32,34-35
18,56-59,34-35,25-26,26,68-71,47-48,24,31,33-34,36-37
19,60-68,36-44,27-32,27-28,72-119,49-68,25-30,32-35,35-42,38-60
