PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-5,0-2,0-10,0-7,0,0-3,0-2,0
2,1,,6,3,11-13,8-9,1-2,4,3-4,1-2
3,2-3,1,7,4-5,14-16,10-11,3-4,5,5-6,3-4
4,4-6,2,,6,17-19,12-14,5-6,6-7,7,5-6
5,7-9,3-4,8,7-8,20-21,15-16,7,8,8-9,7-8
6,10-12,5-6,9,9,22-24,17-18,8-9,9-10,10-11,9-10
7,13-15,7-8,10,10,25-27,19-20,10,11,12,11-12
8,16-18,9-10,11,11-12,28-29,21-23,11-12,12-13,13-14,13-14
9,19-21,11-13,12,13,30-32,24-25,13,14-15,15-16,15-16
10,22-25,14-15,13-14,14-15,33-35,26-27,14-15,16,17,17-18
11,26-28,16-17,15,16,36-39,28-30,16,17-18,18-19,19-20
12,29-32,18-20,16,17-18,40-44,31-32,17,19-20,20-21,21-23
13,33-35,21-22,17,19,45-48,33-34,18-19,21,22-23,24-25
14,36-39,23-24,18-19,20,49-51,35-36,20,22-23,24,26-27
15,40-43,25-27,20,21-22,52-56,37-39,21,24-25,25-26,28-29
16,44-47,28-29,21,23,57-60,40-41,22,26-27,27-28,30-32
17,48-51,30-31,22-23,24-25,61-64,42-43,23,28,29-30,33-34
18,52-55,32-33,24,26,65-68,44-46,,29-30,31-32,35-36
19,56-68,34-44,25-32,27-28,69-119,47-68,24-30,31-35,33-42,37-60
