PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,,0-4,0-1,0-9,0-6,0,0-3,0-1,0
2,,0,5,2-3,10-12,7-8,1,4,2-3,1-2
3,1-2,,6,4,13-15,9-10,2-3,5,4,3
4,3-4,1,7,5,16-18,11-12,4-5,6,5-6,4-5
5,5-7,2,8,6-7,19-20,13-14,6,7,7-8,6-7
6,8-10,3-4,9,8,21-22,15-17,7-8,8-9,9,8-9
7,11-13,5-6,10,9-10,23-25,18-19,9,10,10-11,10-11
8,14-16,7-9,11,11,26-27,20-21,10-11,11-12,12-13,12-13
9,17-19,10-11,12,12,28-30,22-23,12,13,14,14-15
10,20-22,12-13,13,13-14,31-33,24-25,13-14,14-15,15-16,16-17
11,23-26,14-15,14,15,34-37,26-28,15,16-17,17-18,18-19
12,27-29,16-18,15,16-17,38-41,29-30,16,18,19,20-21
13,30-33,19-20,16-17,18,42-45,31-32,17-18,19-20,20-21,22-24
14,34-36,21-23,18,19-20,46-49,33-35,19,21-22,22-23,25-26
15,37-40,24-25,19,21,50-52,36-37,20,23-24,24-25,27-28
16,41-44,26-28,20-21,22-23,53-58,38-39,21,25,26,29-31
17,45-48,29-30,22,24-25,59-62,40-42,22,26-27,27-28,32-33
18,49-52,31-32,23,26,63-66,43-44,23,28-29,29-30,34-35
19,53-68,33-44,24-32,27-28,67-119,45-68,24-30,30-35,31-42,36-60
