PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-2,0,0-7,3,0-16,0-10,0-2,0-5,0-6,0-2
2,3-4,1,8,4-5,17-19,11-13,3-4,6-7,7-8,3-4
3,5-8,2,9,6-7,20-22,14-15,5-6,8,9,5-6
4,9-11,3-4,10,8,23-26,16-18,7-8,9-10,10-11,7-9
5,12-15,5-7,,9-10,27-28,19-20,9-10,11-12,12-13,10-11
6,16-19,8-10,11,11,29-32,21-23,11-12,13-14,14-15,12-13
7,20-23,11-13,12,12-13,33-36,24-25,13,15,16-17,14-15
8,24-27,14-15,13,14,37-40,26-28,14-15,16-17,18-19,16-18
9,28-30,16-18,14,15-16,41-43,29-30,16,18-19,20,19-20
10,31-34,19-21,15,17,44-47,31-33,17,20,21-22,21-22
11,35-38,22-24,16-17,18,48-51,34-35,18-19,21-22,23-24,23-24
12,3942,25-26,18,19-20,52-55,36-38,20,23-24,25-26,25-27
13,43-46,27-28,19,21,56-59,39-40,21,25,27-28,28-29
14,47-49,29-30,20-21,22,60-62,41-42,22,26-27,29-30,30-31
15,50-53,31-32,22,23,63-66,43-45,,28-29,31-32,32-33
16,54-57,33,23-24,24-25,67-70,46-47,23,30,33,34-35
17,58-61,3435,25-26,26,71-74,48-49,24,31-32,34-35,36-37
18,62-64,36,27,27,75-78,50-51,25,33,36-37,38-39
19,65-68,37-44,28-32,28,79-119,52-68,26-30,34-35,38-42,40-60
