PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-1,0,0-1,0-3,0,0,0,0
2,0,0,2,0,2-4,4,0,1,0,0
3,0,0,3,1,5-8,5,0,2,1,1
4,1,0,4,2,9-12,6-7,0,3,2,2
5,2,0,5,3,13-16,8,1,0,3,3-4
6,3,0,6,4,17-21,9-10,2,4,4,5-6
7,4,1,7,5,22-25,11-12,3-4,5,5-6,7-8
8,5-7,2-3,8,6-7,26-29,13-14,5,6,7,9-11
9,8-10,4-5,9,8,30-33,15-16,6-7,7-8,8-9,12-14
10,11-13,6,10,9-10,34-37,17-18,8,9,10,15
11,14-17,7-9,11,11,38-42,19-20,9-10,10-11,11-12,16-18
12,18-20,10-12,12,12-13,43-46,21-23,11,12-13,13-14,19-21
13,21-23,13-14,13,14-15,47-51,24-25,12,14-15,15,22-23
14,24-26,15-17,14,16-17,52-55,26-27,13-14,16-17,16-17,24-25
15,27-30,18-19,15-16,18-19,56-58,28-30,15,18-19,18-19,26-28
16,31-33,20-22,17,20-21,59-61,31-32,16,20-21,20-21,29-30
17,34-37,23-25,18,22-23,62-63,33-35,17-18,22-24,22-23,31-33
18,38-41,26-28,19,24,64-65,36-38,19,25-26,24-25,34-36
19,42-68,29-44,20-32,25-28,0,39-68,20-30,27-35,26-42,37-45
