PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-3,0,0-8,0-4,0-19,0-12,0-4,0-6,0-7,0-3
2,4-5,1,9,5-6,20-22,13-15,5-6,7-8,8-9,4-5
3,6-9,2-3,10,7,23-25,16-17,7-8,9-10,10-11,6-7
4,10-13,4-5,,8-9,26-29,18-20,9-10,11-12,12-13,8-10
5,14-18,6-9,11,10,30-33,21-23,11,13,14-15,11-12
6,19-22,10-13,12,11-12,34-37,24-25,12-13,14-15,16-17,13-15
7,23-27,14-16,13,13,38-41,26-28,14,16-17,18-19,16-18
8,28-31,17-18,-,14-15,42-45,29-30,15-16,18-19,20-21,19-20
9,32-35,19-21,14-15,16,46-49,31-33,17,20-21,22-23,21-23
10,36-39,22-24,16,17-18,50-53,34-35,18-19,22,24-25,24-25
11,40-43,25-26,17,19,54-57,36-38,20,23-24,26-27,26-28
12,44-47,27-29,18-19,20,58-61,39-40,,25-26,28-29,29-30
13,48-51,30-31,20,21,62-66,41-43,21,27,30,31-32
14,52-55,32-33,21-22,22-23,67-70,44-45,22,28-29,31-32,33-34
15,56-59,34,23,24,71-74,46-48,,30-31,33-34,35-36
16,60-62,35-36,24-25,25,75-79,49-50,23,32,35-36,37-38
17,63-65,37,26-27,26,80-83,51-53,24,33,37-38,39-40
18,66-67,,28-29,27,84-88,54-55,25,34,39,41-43
19,68,38-44,30-32,28,89-19,56-68,26-30,35,40-42,44-60
