PP,CB,SM,DG,CN,CD,VC,SNI,RM,CO,PS
1,,,0-3,0,0-5,0-5,0,0-1,0,0
2,0,,4,1,6-9,6,,2,1,1
3,,,,2,10-12,7-8,1,3,2,2-3
4,1,0,5,3-4,13-16,9,2,4,3-4,4-5
5,2-3,1,6,5,17-20,10-11,3,5,5,6-8
6,4-6,2,7,6,21-25,12-13,4-5,6,6,9-11
7,7-8,3,8,7,26-30,14-15,6,7,7-8,12-13
8,9-11,4-5,9,8-9,31-34,16-17,7-8,8-9,9-10,14-16
9,12-14,6-7,10,10,35-38,18-19,9-10,10,11,17-18
10,15-17,8-9,11,11-12,39-43,20-22,1 1,11-12,12-13,19-21
11,18-20,10-12,12,13,44-47,23-24,12,13-14,14,22-24
12,21-24,13-14,13-14,14-15,48-51,25-26,13-14,15,15-16,25-26
13,25-27,15-17,15,16,52-56,27-28,15,16-17,17-18,27-29
14,28-31,18-19,16,17-18,57-60,29-31,16,18-19,19-20,30-31
15,32-34,20-22,17,19-20,61-62,32-33,17-18,20-21,21,32-34
16,35-38,23-25,18-19,21-22,63-64,34-36,19,22-23,22-23,35-36
17,39-42,26-28,20,23-24,65,37-38,20,24-25,24-25,37-39
18,43-46,29-30,21,25,,39-41,21,26-28,26-27,40-42
19,47-68,31-44,22-32,26-28,,42-68,22-30,29-35,28-42,43-45
