PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-6,0-3,0-14,0-8,0-1,0-4,0-4,0-1
2,1-3,,7,4,15-17,9-11,2-3,5,5-6,2-3
3,4-6,1,8,5-6,18-20,12-13,4-5,6-7,7-8,4-5
4,7-9,2-3,,7,21-23,14-16,6-7,8-9,9,6-8
5,10-12,4-6,9,8-9,24-25,17-18,8-9,10,10-11,9-10
6,13-15,7-8,10,10,26-28,19-21,10,11-12,12-13,11-12
7,16-19,9-11,11,11-12,29-31,22-23,11-12,13-14,14-15,13-14
8,20-22,12-13,12,13,32-35,24-25,13,15,16,15-16
9,23-26,14-16,13,14-15,36-38,26-28,14-15,16-17,17-18,17-18
10,27-29,17-18,14-15,16,39-42,29-30,16,18-19,19-20,19-20
11,30-33,19-21,16,17,43-45,31-33,17-18,20,21-22,21-22
12,34-37,22-23,17,18-19,46-49,34-35,19,21-22,23-24,23-25
13,38-41,24-25,18-19,20,50-53,36-37,20,23-24,25,26-27
14,42-44,26-28,20,21,54-57,38-39,21,25,26-27,28-29
15,45-48,29-30,21,22-23,58-61,40-42,22,26-27,28-29,30-31
16,49-52,31-32,22-23,24,62-64,43-44,23,28,30-31,32-33
17,53-56,33,24,25,65-68,45-46,,29-30,32-33,34-35
18,57-60,34-35,25-26,26,69-72,47-48,24,31-32,34,36-38
19,61-68,36-44,27-32,27-28,73-119,49-68,25-30,33-35,35-42,39-60
