PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,,0-4,0-1,0-8,0-6,0,0-2,0,0
2,,,5,2,9-11,7-8,1,3,1-2,1
3,1,0,6,3-4,12-14,9-10,2,4,3-4,2-3
4,2-4,,,5,15-17,11-12,3-4,5-6,5,4-5
5,5-6,1-2,7,6,18-19,13-14,5-6,7,6-7,6
6,7-9,3-4,8,7-8,20-21,15-16,7,8,8-9,7-8
7,10-12,5-6,9,9,22-24,17-18,8-9,9,10,9-10
8,13-15,7-8,10,10-11,25-26,19-20,10,10-11,11-12,11-12
9,16-18,9-10,11,12,27-29,21-22,11-12,12-13,13,13-14
10,19-21,11-12,12-13,13,30-32,23-25,13,14,14-15,15-16
11,22-24,13-14,14,14-15,33-36,26-27,14,15-16,16-17,17-18
12,25-28,15-17,15,16,37-40,28-29,15-16,17-18,18-19,19-20
13,29-31,18-19,16,17-18,41-44,30-31,17,19,20,21-23
14,32-35,20-22,17,19,45-48,32-34,18,20-21,21-22,24-25
15,36-39,23-24,18-19,20-21,49-51,35-36,19,22-23,23-24,26-27
16,40-42,25-27,20,22,52-57,37-39,20,24-25,25-26,28-30
17,43-46,28-30,21,23-24,58-61,40-41,21,26-27,27,31-33
18,47-50,31-32,22-23,25,62-65,42-44,22,28-29,28-29,34-35
19,51-68,33-44,24-32,26-28,66-119,45-68,23-30,30-35,30-42,36-60
