PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-5,0-1,0-8,0-6,0-27,0-14,0-7,0-7,0-8,0-6
2,6-8,2,9,7-8,28-30,15-16,8-9,8-9,9-10,7-8
3,9-12,3-4,10,9,31-33,17-19,10-11,10-11,11-12,9-10
4,13-17,5-7,11,10-11,34-36,20-22,12-13,12-13,13-15,11-13
5,18-21,8-11,12,12,37-40,23-25,14,14-15,16-17,14-15
6,22-26,12-15,13,13,41-44,26-28,15-16,16-17,18-20,16-18
7,27-31,16-19,14,14-15,45-48,29-31,17,18-19,21-22,19-21
8,32-36,20-22,15,16,49-52,32:13,18,20-21,23-24,22-24
9,37-41,23-26,16,17-18,53-57,34-36,19,22-23,25-27,25-27
10,42-46,27-29,17,19,58-62,37-39,20,24,28-29,28-30
11,47-51,30-31,18-19,20,63-67,40-41,21,25-26,30-31,31-33
12,52-55,32-33,20-21,21,68-72,42-44,22,27-28,32,34-36
13,56-58,34,22,22-23,73-78,45-47,,29,33-34,37-38
14,59-62,35,23-24,24,79-83,48-49,,30-31,35-36,39-40
15,63-65,36,25,25,84-89,50-52,23,32,37,41-42
16,66,37,26-27,26,90-95,53-54,24,33,38,43-44
17,67,38,28-29,27,96-101,55-57,25,34,39,45-46
18,68,39,30-31,28,102-107,58-59,26,,40,47-49
19,,40-44,32,,108-119,60-68,27-30,35,41-42,50-60
