PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-3,0,0-7,0-4,0-18,0-11,0-3,0-6,0-6,0-3
2,4-5,1,8,5,19-21,12-14,4-5,7,7-8,4-5
3,6-9,2-3,9,6-7,22-24,15-17,6-7,8-9,9-10,6-7
4,10-13,4-5,10,8-9,25-28,18-19,8-9,10-11,11-12,8-10
5,14-17,68,11,10,2931,20-22,10-11,12-13,13-14,11-12
6,18-21,9-12,,11-12,32-35,23-24,12,14-15,15-16,13-14
7,22-25,13-15,12,13,36-39,25-27,13-14,16,17-18,15-17
8,26-29,16-17,13,14-15,40-43,28-29,15,17-18,19-20,18-19
9,30-33,18-20,14,16,44-47,30-32,16-17,19-20,21-22,20-22
10,34-37,21-23,15-16,17,48-51,33-34,18,21-22,23-24,23-24
11,38-41,24-25,17,18-19,52-55,35-37,19,23,25-26,25-26
12,42-45,26-28,18-19,20,56-59,38-39,20,24-25,27-28,27-29
13,46-49,29-30,20,21,60-63,40-42,21,26-27,29,30-31
14,50-53,31-32,21-22,22,64-67,43-44,22,28,30-31,32-33
15,54-57,33,23,23-24,68-71,45-47,,29-30,32-33,34-35
16,58-60,34-35,24-25,25,72-75,48-49,23,31-32,34-35,36-37
17,61-63,36,26-27,26,76-80,50-51,24,33,36-37,38-39
18,64-66,37,28,27,81-84,52-53,25,34,38-39,40-41
19,67-68,38-44,2932,28,85-119,54-68,26-30,35,40-42,42-60
20,,,,,,,,,,
21,,,,,,,,,,
