PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,,0-5,0-1,0-10,0-6,0,0-3,0-1,0
2,1,0,6,2-3,11-13,7-9,1,4,2-3,1-2
3,2-3,,,4,14-16,10-11,2-3,5,4-5,3-4
4,4-5,1,7,5-6,17-19,12-13,4-5,6,6-7,5-6
5,6-8,2-3,8,7,20.21,14-15,6-7,7-8,8,7-8
6,9-11,4-5,9,8-9,22-23,16-17,8,9,9-10,9-10
7,12-14,6-7,10,10,24-26,18-20,9-10,10-11,11-12,11-12
8,15-17,8-9,11,11,27-28,21-22,11,12,13,13-14
9,18-20,10-12,12,12-13,29-31,23-24,12-13,13-14,14-15,15-16
10,21-23,13-14,13,14,32-34,25-26,14,15-16,16-17,17.18
11,24-27,15-16,14,15-16,35-38,27-29,15-16,17,18,19-20
12,28-30,17-19,15-16,17,39-42,30-31,17,18-19,19-20,21-22
13,31-34,20-21,17,18-19,43-46,32-33,18,20-21,21-22,23-24
14,35-38,22-24,18,20,47-50,34-36,19,22,23-24,25-27
15,39-41,25-26,19-20,21,51-54,37-38,2Q,23-24,25,28-29
16,42-45,27-28,21,22-23,55-59,39-40,21,25-26,26-27,30-31
17,46-49,29-31,22,24-25,60-63,41-43,22,27-28,28-29,32-34
18,50-53,32-33,23-24,26,64-67,44-45,23,29-30,30-31,35-36
19,54-68,34-44,25-32,27-28,68-119,46-68,24-30,31-35,32-42,37-60
