PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-2,0,0-4,0-4,0,0-1,0,0
2,0,0,3,0,5-8,5,0,2,0,0
3,0,0,4,2,9-11,6-7,0,3,1-2,2
4,1,0,5,3,12-15,8-9,0,4,3,34
5,2,0,6,4,16-19,10,2-3,5,4,5-7
6,3-5,1,7,5-6,20-24,11-12,4,6,5-6,8-9
7,6-7,2,8,7,25-28,13-14,5-6,7,7,10-12
8,8-10,3-4,9,8,29-32,15-16,7,8,8-9,13-14
9,11-13,5-6,10,910,33-36,17-18,8-9,9,10,15-17
10,14-16,7-8,11,11,37-41,19-20,10,10-11,11-12,18-19
11,17-19,9-11,12,12-13,42-45,21-23,11,12-13,13-14,20-22
12,20-23,12-13,13,14,46-49,24-25,12-13,14-15,15,23-24
13,24-26,14-16,14,15-16,50-54,26-27,14,16-17,16-17,25-27
14,27-29,17-19,15-16,17-18,55-58,28-30,15,18,18-19,28-29
15,30-33,20-21,17,19-20,59 61,31-32,16-17,19-20,20-21,30-32
16,34-36,22-24,18,21-22,62-63,33 35,18,21-22,22,33 34
17,37-40,25-27,19,23-24,64-65,36-37,9,23-25,23-24,35-37
18,41-44,28-30,20-21,25,0,38-40,20,26-27,25-26,38-40
19,45-68,31-44,22-32,26-28,0,41-68,21-30,28-35,27-42,41-45
