PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-3,0,0-8,0-4,0-19,0-12,0-4,0-6,0-7,0-3
2,4-5,1,9,5-6,20-22,13-14,5-6,7-8,8-9,4-5
3,6-9,2-3,,7,23-25,15-17,7-8,9-10,10-11,6-7
4,10-13,4-5,10,8-9,26-28,18-20,9-10,11,12-13,8-10
5,14-17,6-8,11,10,29-32,21-22,11,12-13,14-15,11-12
6,18-22,9-12,12,11-12,33-36,23-25,12-13,14-15,16-17,13-15
7,23-26,13-15,,13,37-40,26-27,14,16-17,18-19,16-17
8,27-30,16-18,13,14-15,41-44,28-30,15-16,18,20-21,18-20
9,31-34,19-20,14,16,45-48,31-32,17,19-20,22,21-22
10,35-38,21-23,15-16,17-18,49-52,33-35,18,21-22,23-24,23-25
11,39-42,24-26,17,19,53-56,36-37,19-20,23-24,25-26,26-27
12,43-46,27-28,18-19,20,57-60,38-40,,25,27-28,28-29
13,47-50,29-30,20,21,61-64,41-42,21,26-27,29-30,30-31
14,51-54,31-32,21-22,22-23,65-69,43-45,22,28-29,31-32,32-34
15,55-58,33-34,23,24,70-73,46-47,,30,33-34,35
16,59-61,35,24-25,25,74-77,48-50,23,31-32,35,36-37
17,62-64,36,26-27,26,78-81,51-52,24,33,36-37,38-39
18,65-66,37,28-29,27,82-86,53-54,25,34,38-39,40-42
19,67-68,38-44,30-32,28,87-119,55-68,26-30,35,40-42,43-60
