PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-2,0,0-3,0-4,0,0,0,0
2,0,0,3-5,0,4-6,5,0,1,0,0
3,0,0,6-9,1,7-10,6,0,2,1,1
4,1,0,4,2,11-14,7-8,0,3,2,2-3
5,2,0,5,3-4,15-18,9,1,4,3-4,4-5
6,3-4,1,6,5,19-23,10-11,2-3,5,5,6-8
7,5-6,2,7,6,24-27,12-13,4-5,6,6,9-10
8,7-9,3-4,8,7-8,28-31,14-15,6-7,7,7-8,11-13
9,10-12,5-6,9,9,32-35,16-17,8-9,8,9-10,14-15
10,13-15,7,10,10,36-39,18-19,10,9-10,11,16-17
11,16-18,8-10,11,11-12,40-43,20-21,0,11-12,12-13,18-20
12,19-21,11-13,12-13,13-14,44-47,22-24,11,13-14,14,21-22
13,22-25,14-15,14,15,48-52,25-26,12-13,15-16,15-16,23-25
14,26-28,16-18,15,16-17,53-56,27-29,14,17,17-18,26-27
15,29-31,19-20,16,18-19,57-59,30-31,15-16,18-20,19-20,28-30
16,32-35,21-23,17,20-21,60-62,32-34,17,21-22,21-22,31-32
17,36-39,24-26,18-19,22-23,63-64,35-36,18,23-24,23,33-35
18,40-43,27-29,20,24-25,65,37-39,19-20,25-27,24-25,36-38
19,44-68,30-44,21-32,26-28,0,40-68,21-30,28-35,26-42,39-45
