PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,,0-4,0-1,0-7,0-5,0,2,0,0
2,,,5,2,8-10,6-7,,3,1-2,1
3,1,,,3,11-13,8-9,1-2,4,3,2
4,2-3,0,6,4-5,14-16,10-11,3-4,5,4-5,3-4
5,4-5,1,7,6,17-18,12-13,5,6,6,5
6,6-8,2-3,8,7,19-20,14-15,6-7,7,78,6-7
7,9-11,4-5,9,8-9,21-23,16-17,8,8-9,9,8-9
8,12-13,6-7,10,10,24-25,18-19,9-10,10,10-11,10-11
9,14-16,8-9,11,11,26-28,20-21,11,11-12,12-13,12-13
10,17-20,10-11,12,12-13,29-31,22-24,12,13,14,14-15
11,21-23,12-14,13,14,32-35,25-26,13-14,14-15,15-16,16-17
12,24-26,15-16,14-15,15-16,36-39,27-28,15,16-17,17-18,18-19
13,27-30,17-18,16,17,40-43,29-31,16,18-19,19-20,20-22
14,31-34,19-21,17,18-19,44-46,32-33,17-18,20-21,21,23-24
15,35-37,22-24,18,20,47-50,34-35,19,22,22-23,25-27
16,38-41,25-26,19-20,21-22,51-56,36-38,20,23-24,24-25,28-29
17,42-45,27-29,21,23-24,57-60,39-40,21,25-26,26-27,30-32
18,46-49,30-31,22,25,61-64,41-43,22,27-29,28,33-34
19,50-68,32-44,23-32,26-28,65-119,44-68,23-30,30-35,29-42,35-60
