PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-4,0,0-8,0-5,0-23,0-14,0-6,0-6,0-8,0-5
2,5-7,1-2,9,6-7,24-26,15-16,7-8,7-8,9-10,6-7
3,8-11,3-4,10,8,27-29,17-19,9-10,9-10,11-12,8-9
4,12-15,5-7,11,9-10,30-33,20-22,11-12,11-12,13-14,10-12
5,16-20,8-10,,11,34-37,23-24,13,13-14,15-16,13-14
6,21-25,11-14,12,12-13,38-41,25-27,14,15-16,17-19,15-17
7,26-30,15-18,13,14,42-45,28-30,15,17-18,20-21,18-20
8,31-34,19-21,14,15-16,46-49,31-32,16-17,19-20,22-23,21-23
9,35-39,22-24,15,17,50-54,33-35,18,21-22,24-25,24-26
10,40-44,25-27,16,18,55-58,36-38,19-20,23,26-27,27-29
11,45-48,28-29,17-18,19-20,59-63,39-40,,24-25,28-29,30-31
12,49-52,30-31,19-20,21,64-68,41-43,21,26-27,30-31,32-34
13,53-56,32-33,21,22,69-73,44-45,22,28-29,32-33,35-36
14,57-59,34,22-23,23,74-78,46-48,,30-31,34,37-39
15,60-63,35-36,24,24,79-83,49-50,23,32,35-36,40-41
16,64-65,37,25-26,25,84-88,51-53,24,33,37-38,42-43
17,66,38,27-28,26,89-93,54-55,25,34,39,44-45
18,67,39,29-30,27,94-99,56-58,26,,40,46-47
19,68,40-44,31-32,28,100-119,59-68,27-30,35,41-42,48-60
