PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,,0-3,0,0-6,0-5,0,0-2,0,0
2,,,4,1-2,7-10,6-7,,3,1,1-2
3,1,,5,3,11-13,8,1,4,2-3,3-4
4,2,0,6,4,14-17,9-10,2-3,5,4,5-6
5,3-4,1,7,5,18-21,11-12,4,6,5-6,7-9
6,5-7,2,8,6-7,22-26,13-14,5-6,7,7,10-12
7,8-9,3-4,9,8,27-30,15-16,7,8,8-9,13-15
8,10-12,5-6,10,9,31-35,17-18,8-9,9-10,10,16-17
9,13-15,7-8,11,10-11,36-40,19-20,10,11,11-12,18-20
10,16-18,9-10,12,12,41-45,21-23,11-12,12-13,13-14,21-23
11,19-22,11-13,13,13-14,46-49,24-25,13,14,15,24-26
12,23-25,14-15,14,15,50-53,26-27,14,15-16,16-17,27-28
13,26-29,16-18,15,16-17,54-57,28-30,15-16,17-18,18-19,29-31
14,30-32,19-20,16-17,18,58-60,31-32,17,19-20,20,32-33
15,33-36,21-23,18,19-20,61-63,33-34,18,21-22,21-22,34-36
16,37-39,24-25,19,21-22,64-65,35-37,19,23-24,23-24,37-38
17,40-43,26-28,20,23-24,-,38-39,20,25-26,25-26,39-41
18,44-47,29-31,21-22,25,-,40-42,21,27-28,27-28,42-44
19,48-68,32-44,23-32,26-28,,43-68,22-30,29-35,29-42,45
