PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-1,0,0-6,0-3,0-15,0-10,0-2,0-4,0-5,0-1
2,2-4,1,7,4-5,16-18,11-12,3-4,5-6,6-7,2-3
3,5-7,2,8,6,19-21,13-15,5-6,7-8,8-9,4-5
4,8-11,3-4,9,7-8,22-25,16-17,7-8,9-10,10-11,6-8
5,12-14,5-i,10,9,26-27,18-20,9-10,11,12-13,9-10
6,15-18,8-10,11,10-11,28-31,21-22,11,12-13,14,11-13
7,19-22,11-13,12,12,32-35,23-25,12-13,14-15,15-16,14-15
8,23-25,14-15,13,13-14,36-38,26-27,14,16-17,17-18,16-17
9,26-29,16-18,14,15,39-42,28-30,15-16,18,19-20,18-19
10,30-33,19-20,15,16-17,43-46,31-32,17,19-20,21-22,20-22
11,34-37,21-23,16,18,47-50,33-35,18,21-22,23-24,23-24
12,38-41,24-25,17-18,19,51-53,36-37,19-20,23,25,25-26
13,42-44,26-27,19,20-21,54-57,38-39,21,24-25,26-27,27-28
14,45-48,28-29,20-21,22,58-61,40-42,22,26-27,28-29,29-30
15,49-52,30-31,22,23,62-65,43-44,,28,30-31,31-32
16,53-56,32-33,23-24,24-25,66-69,45-46,23,29-30,32-33,33-34
17,57-60,34,25,26,70-72,47-48,24,31,34-35,35-36
18,61-63,35-36,26-27,27,73-76,49-51,25,32-33,36,37-39
19,64-68,37-44,28-32,28,77-119,52-68,26-30,34-35,37-42,40-60
