PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-3,0,0-8,0-5,0-21,0-13,0-5,0-6,0-7,0-4
2,4-6,1,9,6,22-24,14-15,6-7,7-8,8-9,5-6
3,7-10,2-3,10,7-8,25-27,16-18,8-9,9-10,10-11,7-8
4,11-14,4-6,11,9,28-31,19-21,10-11,11-12,12-14,9-11
5,15-19,7-9,,10-11,32-35,22-23,12,13-14,15-16,12-13
6,20-23,10-13,12,12,36-38,24-26,13,15-16,17-18,14-16
7,24-28,14-16,13,13-14,39-43,27-29,14-15,17-18,19-20,17-19
8,29-33,17-19,14,15,44-47,30-31,16,19,21-22,20-22
9,34-37,20-23,15,16-17,48-51,32-34,17-18,20-21,23-24,23-24
10,38-41,24-25,16,18,52-55,35-36,19,22-23,25-26,25-27
11,42-45,26-28,17-18,19,56-60,37-39,20,24-25,27-28,28-29
12,46-49,29-30,19,20,61-64,40-41,21,26,29-30,30-32
13,50-53,31-32,20-21,21-22,65-69,42-44,,27-28,31,33-34
14,54-57,33,22,23,70-73,45-46,22,29-30,32-33,35-36
15,58-60,34-35,23-24,24,74-78,47-49,,31,34-35,37-38
16,61-63,36,25-26,25,79-83,50-51,23,32-33,36-37,39-40
17,64-65,37,27-28,26,84-87,52-54,24,34,38,41-42
18,66-67,38,29-30,27,88-92,55-56,25,,39-40,43-45
19,68,39-44,31-32,28,93-119,57-68,26-30,35,41-42,46-60
