PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0,0,0-6,0-2,0-12,0-8,0-1,0-3,0-3,0-1
2,1-2,,7,3-4,13-15,9-10,2-3,4-5,4-5,2-3
3,3-5,1,,5,16-18,11-12,4-5,6,6-7,4-5
4,6-8,2,8,6-7,19-21,13-15,6,7-8,8,6-7
5,9-11,3-5,9,8,22-23,16-17,7-8,9,9-10,8-9
6,12-14,6-7,10,9-10,24-26,18-19,9-10,10-11,11-12,10-11
7,15-17,8-10,11,11,27-29,20-22,11,12-13,13,12-13
8,18-20,11-12,12,12-13,30-32,23-24,12-13,14,14-15,14-15
9,21-24,13-14,13,14,33-35,25-26,14,15-16,16-17,16-17
10,25-27,15-17,14,15,36-39,27-29,15-16,17,18-19,18-19
11,28-31,18-19,15,16-17,40-42,30-31,17,18-19,20,20-21
12,32-34,20-21,16-17,18,43-46,32-33,18,20-21,21-22,22-24
13,35-38,22-23,18,19-20,47-50,34-36,19,22,23-24,25-26
14,39-42,24-26,19,21,51-54,37-38,20,23-24,25-26,27-28
15,43-46,27-28,20-21,22,55-58,39-40,21,25-26,27-28,29-30
16,47-50,29-30,22,23,59-62,41-43,22,27,29,31-32
17,51-54,31-32,23-24,24-25,63-66,44-45,23,28-29,30-31,33-35
18,55-58,33-34,25,26,67-70,46-47,24,30-31,32-33,36-37
19,59-68,35-44,26-32,27-28,71-119,48-68,25-30,32-35,34-42,38-60
